"name","first_release","versions","archived","index"
"nor1mix","2003-11-15 21:29:00",15,TRUE,331
"pan","2003-11-15 21:29:00",16,TRUE,332
"magic","2003-11-23 23:49:00",24,TRUE,333
"labstatR","2003-11-26 10:25:00",9,TRUE,334
"rgdal","2003-11-26 10:25:00",134,TRUE,335
"digest","2003-11-29 20:49:00",43,TRUE,336
"phyloarray","2003-12-02 19:12:00",2,TRUE,337
"concord","2003-12-03 08:05:00",12,TRUE,338
"lazy","2003-12-09 13:17:00",4,TRUE,339
"ldDesign","2003-12-09 13:17:00",5,TRUE,340
"pheno","2003-12-11 19:54:00",6,TRUE,341
"fork","2003-12-19 17:03:00",8,TRUE,342
"fda","2003-12-23 15:55:00",42,TRUE,343
"SoPhy","2004-01-07 11:16:00",18,TRUE,344
"gap","2004-01-14 07:11:00",43,TRUE,345
"gclus","2004-01-14 07:11:00",6,TRUE,346
"supclust","2004-01-14 09:37:00",9,TRUE,347
"mscalib","2004-01-16 14:13:00",9,TRUE,348
"BradleyTerry","2004-01-22 14:04:00",9,TRUE,349
"GeneTS","2004-01-22 14:04:00",16,TRUE,350
"debug","2004-01-22 14:04:00",10,TRUE,351
"mvbutils","2004-01-22 14:04:00",14,TRUE,352
"impute","2004-01-24 15:18:00",12,TRUE,353
"hapassoc","2004-01-28 19:09:00",23,TRUE,354
"dynamicGraph","2004-01-30 18:01:00",14,TRUE,355
"AlgDesign","2004-02-02 12:38:00",21,TRUE,356
"R2WinBUGS","2004-02-02 12:38:00",33,TRUE,357
"energy","2004-02-06 08:42:00",24,TRUE,358
"sfsmisc","2004-02-06 13:41:00",58,TRUE,359
"assist","2004-02-13 22:22:00",17,TRUE,360
"VaR","2004-02-13 22:23:00",1,TRUE,361
"mvpart","2004-02-13 22:23:00",10,TRUE,362
"BsMD","2004-02-16 20:22:00",11,TRUE,363
"hett","2004-02-16 20:23:00",6,TRUE,364
"multinomRob","2004-02-19 08:39:00",9,TRUE,365
"ref","2004-02-19 08:39:00",11,TRUE,366
"httpRequest","2004-02-20 16:24:00",9,TRUE,367
"sandwich","2004-02-20 16:24:00",34,TRUE,368
"zoo","2004-02-20 16:24:00",64,TRUE,369
"pgam","2004-02-21 13:14:00",16,TRUE,370
"mAr","2004-02-28 10:59:00",7,TRUE,371
"treeglia","2004-03-03 06:48:00",2,TRUE,372
"rgl","2004-03-04 07:02:00",80,TRUE,373
"qcc","2004-03-04 15:44:00",11,TRUE,374
